ObjectID,Label,MeanIntensity,StandardDeviationIntensity,MaxIntensity,MinIntensity,TotalIntensity,Area,Count,EquivalentDiskRadius,Elongation,Eccentricity,Circularity
53,53,0.015502988,0.000889358,0.017517357,0.013092241,10.61954681,688.5,685,14.7662545,0.131306754,0.495350427,0.950625347
54,54,0.013431976,0.000563832,0.015121691,0.012024109,8.072617685,605.5,601,13.83127766,0.229697722,0.637678917,0.915635178
55,55,0.013296997,0.000343806,0.014404517,0.012298772,9.400976577,711.0,707,15.00150291,0.23484729,0.643848842,0.949648686
56,56,0.013432208,0.000505331,0.01451133,0.011886778,6.098222324,457.375,454,12.02134303,0.089926161,0.414446147,0.966087074
57,57,0.013684958,0.000545369,0.015197986,0.012130922,5.692942702,419.625,416,11.50725478,0.290742464,0.704949465,0.938841125
58,58,0.014789816,0.000848376,0.017349508,0.012573434,12.68966201,865.0,858,16.5260365,0.456755311,0.839574421,0.871138167
59,59,0.012698837,0.000465072,0.014099336,0.01155108,6.400213626,507.375,504,12.66602474,0.075163746,0.380365486,0.99250739
60,60,0.012665677,0.000569229,0.014160372,0.011108568,8.422674907,669.0,665,14.54909187,0.258728998,0.671205857,0.902817541
61,61,0.014208025,0.000771005,0.016449226,0.01170367,10.98280308,777.5,773,15.68609391,0.243655827,0.654173901,0.957701078
62,62,0.014976146,0.00064809,0.016357671,0.013244831,6.065339132,408.25,405,11.35409635,0.199673558,0.599564498,0.980353579
63,63,0.011912232,0.000410484,0.012893874,0.010742351,8.255176623,696.75,693,14.85223051,0.125841912,0.48564147,0.830048021
64,64,0.013011604,0.000385737,0.014419776,0.011841001,9.420401312,728.625,724,15.1807891,0.164747132,0.549866026,0.950738636
65,65,0.014023257,0.00098166,0.016983291,0.012207218,6.927489128,498.25,494,12.53974018,0.459715312,0.841482297,0.837444518
66,66,0.012965082,0.000493758,0.01419089,0.011566339,5.912077516,459.5,456,12.04779267,0.237631036,0.647142614,0.951010492
67,67,0.01311181,0.000510711,0.014526589,0.011718929,5.756084535,442.375,439,11.82108455,0.175431634,0.565762326,0.974932962
68,68,0.013608868,0.000952809,0.015259022,0.011261158,6.763607233,500.625,497,12.57775868,0.336682029,0.748337671,0.929612394
